id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
49634424,Perfectly located Family Room in the Marina,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,130,1,134,2021-12-02,31.41,12,336,134,Licensed hotel/B&B
49634438,An Absolute hidden Gem in the Heart of the Marina,399069771,Marina Motel,,Marina,37.799881,-122.435287,Entire home/apt,154,1,36,2021-11-29,14.21,12,346,36,Licensed hotel/B&B
49635792,Stunning Bay Bridge View Entire Studio,30210149,Karan,,South of Market,37.78772,-122.38936,Entire home/apt,150,45,2,2021-07-06,1.22,1,342,2,
49636107,A beautiful cozy house in SF-4 rooms 2 bath,400352309,Hou Dong,,Bayview,37.73407,-122.40326,Entire home/apt,288,4,8,2021-11-23,4.29,1,158,8,pending
49636117,Spacious Home with Backyard and Office,2577011,Sarah,,Parkside,37.73937,-122.47785,Entire home/apt,321,4,6,2021-08-10,1.70,2,10,6,pending
49639075,Private Suite in the Heart of Parkside,46884383,Kinsley,,Parkside,37.74192,-122.48817,Entire home/apt,115,2,18,2021-11-02,4.50,1,38,18,pending
49640324,A Victorian in Heart of SF  - Cable Car Rm,344223871,Jeffrey,,Western Addition,37.7737,-122.42865,Private room,105,1,13,2021-11-21,3.12,2,122,13,City Registration Pending
49640380,Modern Top Floor 1BR/1BA in SOMA with W/D,8145777,Michael,,South of Market,37.77731,-122.40518,Entire home/apt,140,30,1,2021-09-27,0.43,8,364,1,
49651182,122 Vicksburg St · Victorian-style Noe Valley home with sunny deck,375204509,Bungalow,,Noe Valley,37.75207,-122.42847,Entire home/apt,266,30,0,,,22,263,0,
49655405,Levi Plaza One Bedroom Condo,1479964,James,,North Beach,37.80518,-122.40594,Entire home/apt,179,30,1,2021-08-25,0.29,18,0,1,
